"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferType","Param: cipher","Param: messageSize","Param: sslProvider"
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,336769.328837,3659.431195,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,512,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,115278.463525,1108.925443,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,1024,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,236690.621730,2398.136743,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,1024,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,35118.500778,289.563475,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4096,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,86370.254416,588.249468,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4096,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,483533.100912,9715.784096,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,64,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,2305635.812171,21365.569926,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,64,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,327213.993256,3888.624963,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,128,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,2220219.256355,23375.229379,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,128,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,110539.910006,1021.340698,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,512,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,1717282.411272,18562.029089,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,512,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,60318.318137,594.047972,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,1024,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,1368186.855263,11275.109697,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,1024,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,15107.151549,126.791044,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,4096,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,608106.770455,12012.873912,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,4096,OPENSSL
