"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferType","Param: cipher","Param: messageSize","Param: sslProvider"
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,152053.950021,1489.906836,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,512,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,322995.104623,6108.723266,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,512,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,105875.339252,870.044391,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,1024,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,233594.213952,3515.398998,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,1024,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,38297.970767,385.807389,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4096,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,88437.630747,1092.244401,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4096,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,437179.692569,4726.124527,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,64,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,2136858.095482,24776.957867,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,64,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,299592.271316,3011.937681,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,128,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,1942000.707388,47684.745634,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,128,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,105524.273915,1422.062697,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,512,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,1608728.711214,18745.775538,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,512,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,55273.722067,752.906468,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,1024,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,1282012.940969,32085.191206,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,1024,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,15059.042566,216.878305,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,4096,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,596683.576922,7756.939094,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,4096,OPENSSL
